,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL(%),SYS_UTIL(%),IOW_UTIL(%),IDL_UTIL(%),CPU_UTIL(%)
116,4096,mmap,1,read,1,ssd,1,none,1827451248,1.7 GB,0,0.0 B,2045.362254,2.0 µs,0.0,0.0 ns,0.678889,0.449444,0.214444,98.6539,1.34611
117,4096,mmap,1,read,1,zram,1,none,1837713984,1.7 GB,0,0.0 B,2034.06964,2.0 µs,0.0,0.0 ns,0.556667,0.696111,0.0,98.7494,1.25056
118,4096,sync,1,read,1,ssd,1,none,59926257,57.2 MB,0,0.0 B,68056.570389,68.1 µs,0.0,0.0 ns,0.0246154,0.0377448,0.826941,99.1109,0.889143
119,4096,sync,1,read,1,zram,1,none,1898328086,1.8 GB,0,0.0 B,1916.969414,1.9 µs,0.0,0.0 ns,0.665294,0.712353,0.000588235,98.6247,1.37529
120,4096,io_uring,128,read,32,ssd,1,none,5404174011,5.0 GB,0,0.0 B,2796962.877973,2.8 ms,0.0,0.0 ns,2.658,3.544,20.228,73.532,26.468
121,4096,io_uring,128,read,32,zram,1,none,14204108461,13.2 GB,0,0.0 B,1096349.07617,1.1 ms,0.0,0.0 ns,8.83,24.18,0.0,66.98,33.02
122,4096,io_uring,64,read,32,ssd,1,none,5370387366,5.0 GB,0,0.0 B,1405044.365837,1.4 ms,0.0,0.0 ns,2.942,3.56,20.23,73.252,26.748
123,4096,io_uring,64,read,32,zram,1,none,11309986296,10.5 GB,0,0.0 B,675641.731124,675.6 µs,0.0,0.0 ns,5.475,37.03,0.0,57.49,42.51
124,4096,libaio,128,read,32,ssd,1,none,5323789644,5.0 GB,0,0.0 B,2960509.478388,3.0 ms,0.0,0.0 ns,4.14,8.724,0.0,87.066,12.934
125,4096,libaio,128,read,32,zram,1,none,16377377677,15.3 GB,0,0.0 B,870247.095988,870.2 µs,0.0,0.0 ns,10.72,14.14,0.0,75.14,24.86
126,4096,libaio,64,read,32,ssd,1,none,5422938505,5.1 GB,0,0.0 B,1423410.252819,1.4 ms,0.0,0.0 ns,0.689773,1.82955,0.0677273,97.4084,2.59159
127,4096,libaio,64,read,32,zram,1,none,18613076039,17.3 GB,0,0.0 B,323860.101477,323.9 µs,0.0,0.0 ns,0.377778,1.07244,0.000222222,98.5504,1.44956
128,4096,mmap,1,read,32,ssd,1,none,8534460598,7.9 GB,0,0.0 B,14667.06917,14.7 µs,0.0,0.0 ns,4.30667,2.11333,21.4567,72.12,27.88
129,4096,mmap,1,read,32,zram,1,none,24129029752,22.5 GB,0,0.0 B,4339.281135,4.3 µs,0.0,0.0 ns,,,,,
130,4096,sync,1,read,32,ssd,1,none,1620818829,1.5 GB,0,0.0 B,78488.022258,78.5 µs,0.0,0.0 ns,0.6675,0.965,26.0375,72.328,27.672
131,4096,sync,1,read,32,zram,1,none,26594224743,24.8 GB,0,0.0 B,3831.503734,3.8 µs,0.0,0.0 ns,,,,,
132,4096,io_uring,128,read,64,ssd,1,none,5892597902,5.5 GB,0,0.0 B,5331829.244531,5.3 ms,0.0,0.0 ns,3.038,5.274,35.106,56.58,43.42
133,4096,io_uring,128,read,64,zram,1,none,14614946136,13.6 GB,0,0.0 B,1859390.148246,1.9 ms,0.0,0.0 ns,7.76,34.495,0.015,57.695,42.305
134,4096,io_uring,64,read,64,ssd,1,none,5921030220,5.5 GB,0,0.0 B,2640359.824163,2.6 ms,0.0,0.0 ns,3.054,5.142,34.906,56.892,43.108
135,4096,io_uring,64,read,64,zram,1,none,14664847788,13.7 GB,0,0.0 B,913573.865169,913.6 µs,0.0,0.0 ns,9.43,25.68,0.0,64.89,35.11
136,4096,libaio,128,read,64,ssd,1,none,5908811413,5.5 GB,0,0.0 B,5399319.691511,5.4 ms,0.0,0.0 ns,4.142,7.44,0.4,88.012,11.988
137,4096,libaio,128,read,64,zram,1,none,26329301431,24.5 GB,0,0.0 B,1103963.811882,1.1 ms,0.0,0.0 ns,,,,,
138,4096,libaio,64,read,64,ssd,1,none,5921030220,5.5 GB,0,0.0 B,2435823.736606,2.4 ms,0.0,0.0 ns,0.9296,2.8584,0.0424,96.1696,3.8304
139,4096,libaio,64,read,64,zram,1,none,19206114235,17.9 GB,0,0.0 B,349530.355005,349.5 µs,0.0,0.0 ns,0.656667,2.11875,0.000416667,97.225,2.775
140,4096,mmap,1,read,64,ssd,1,none,6635716177,6.2 GB,0,0.0 B,38948.47094,38.9 µs,0.0,0.0 ns,3.475,2.1175,38.65,55.7575,44.2425
141,4096,mmap,1,read,64,zram,1,none,19918688908,18.6 GB,0,0.0 B,10890.125044,10.9 µs,0.0,0.0 ns,11.09,25.7,0.0,63.2,36.8
